full_text,reclamacao
Sem a mínima vontade de ir pra escola e encara as duas aulas de história,não
"@paypervitu Tá ruim assim? Tá sem luz no meu bairro, q é o bairro da escola também",não
"caraca meu professor de inglês pisa em todos daquela escola sem dúvidas, mesmo que eu esteja que nem uma morta viva na escola as aulas deles sempre me deixam mais interessada",não
"Eu so nao quero e ter aulas pq tar na escola até q é fixe,, mas SEM AULAS !",não
sem mdd não tenho vontade nenhuma de ir pra escola desde que as aulas começou eu só fui 2 dias kkkk não tenho forças pra continuar,não

"Tem Carro e CNH mas FALTA CORAGEM PARA DIRIGIR?

Tratamento Completo e Rápido para quem tem MEDO DE DIRIGIR, só R$680, em 10x no cartão. Sem pagar por aulas adicionais na auto escola. Oferta válida somente para os 10 primeiros.

- Para você ter liberdade…https://t.co/9qUoSLISKP",não

"eu tive uma semana inteira sem aulas por causa do carnaval, eu quero voltar pra escola mesmo passando raiva por motivo bobo o dia todo",não

"Sei o tal Hino Nacional completo desde sempre e realmente não me ajudou em ABSOLUTAMENTE NADA.
Filma a tua Escola sucateada, Diretor, Pedagogo, Professor! Mostra Ela sem merenda, sem o mínimo que garanta... https://t.co/u0iCfDCcEp",não

"as aulas começam semana q vem e eu não to preparada p isso, ainda mais em outra escola e sem uns amigos q sempre estiveram cmg",não

"Hoje a merenda na escola do Cadu foi: pão puro. Sem margarina. Puro. Seco.
Obrigada prefeitura de campo grande. Por sorte meu filho vai alimentado... já outros...",sim

Jaja as aulas voltam e eu sem escola kkkk,não

Não da pra ir pra escola sem ter aquelas aulas que te motivam a continuar,não

"@LKosenhoski Não tem como, um bando de sem estudos devem ir na escola só pra merenda e Ed física...",não

"O tipo de professor que o eleitor de Jair Bolsonaro gosta é o nazista.

Ele existe e ainda dá aulas.

Não só dele o Escola Sem Partido não reclama, como os eleitores de Jair Bolsonaro até o indicam para cargos no Ministério da Educação.

Até pra ministro, por que não? https://t.co/GsF0t2JJtO",não

"a única coisa boa dessa escola é que a fila da merenda das meninas é separada dos menino, nao vou ter que aturar macho sem educação",não

Tweet de Escola sem Partido (@escolasempartid) Escola sem Partido (@escolasempartid) tweetou: Gravar/filmar aulas é ato de legítima defesa contra os predadores ideológicos disfarçados de professores. https://t.co/cy6uggPAk4 https://t.co/qlWsolEnTI,não

Acabei de receber uma notícia de uma mãe de um aluno da EC 39 do P.Norte que na escola os alunos estão sem merenda por que não tem gás. Será isso verdade? Se for é o cúmulo do descaso com a educação. @Gov_DF @educadf @IbaneisOficial,sim

